Timestamp	Quat_w	Quat_x	Quat_y	Quat_z	Acc_x	Acc_y	Acc_z	Gyro_x	Gyro_y	Gyro_z
0.99	10728	-387	-12376	184	2034	-72	-289	0	0	-1
1	10728	-387	-12376	183	2016	-65	-309	1	-1	-1
1.01	10728	-386	-12376	182	2023	-57	-298	-2	1	1
1.02	10728	-386	-12376	182	2027	-69	-291	-1	2	-4
1.03	10728	-385	-12376	181	2036	-60	-297	0	0	4
1.04	10728	-384	-12376	181	2028	-64	-303	0	1	-2
1.05	10728	-384	-12376	180	2027	-66	-295	0	0	0
1.06	10727	-383	-12377	179	2021	-59	-299	1	-3	-3
1.07	10727	-383	-12377	179	2026	-67	-295	-2	1	0
1.08	10727	-382	-12377	178	2031	-63	-296	1	-1	0
1.09	10727	-382	-12377	178	2022	-58	-304	-1	1	-2
1.1	10727	-381	-12377	177	2020	-67	-299	0	1	3
1.11	10727	-381	-12377	176	2021	-60	-294	0	-1	-6
1.12	10727	-380	-12377	176	2028	-63	-299	-1	0	3
1.13	10727	-380	-12377	175	2028	-63	-309	1	-1	-2
1.14	10726	-379	-12378	175	2025	-63	-307	-2	1	0
1.15	10726	-379	-12378	174	2024	-62	-300	-1	0	2
1.16	10726	-378	-12378	173	2021	-63	-305	0	-1	-5
1.17	10726	-378	-12378	173	2013	-60	-300	-1	0	3
1.18	10726	-377	-12378	172	2036	-59	-304	-1	0	-5
1.19	10726	-377	-12378	171	2021	-60	-291	1	0	3
1.2	10726	-376	-12378	171	2019	-69	-287	0	0	-3
1.21	10726	-376	-12378	170	2026	-61	-297	0	-1	0
1.22	10726	-375	-12378	170	2021	-65	-294	-2	0	-1
1.23	10726	-375	-12378	169	2023	-54	-284	1	0	-3
1.24	10726	-374	-12379	168	2022	-58	-305	-1	0	4
1.25	10725	-373	-12379	168	2022	-60	-303	0	0	-7
1.26	10725	-373	-12379	167	2022	-64	-292	0	0	4
1.27	10726	-373	-12379	167	2027	-72	-289	-1	1	-5
1.28	10725	-372	-12379	166	2021	-56	-306	2	-1	0
1.29	10725	-372	-12379	166	2026	-65	-309	-1	0	1
1.3	10725	-371	-12379	165	2018	-58	-298	0	1	-2
1.31	10725	-371	-12379	165	2023	-62	-300	-1	1	3
1.32	10725	-370	-12380	164	2025	-58	-296	0	-1	-5
1.33	10725	-370	-12380	163	2022	-65	-290	-1	0	2
1.34	10725	-369	-12380	163	2023	-57	-297	-1	0	-4
1.35	10725	-369	-12380	162	2025	-64	-304	0	0	1
1.36	10720	-335	-12385	124	2023	-61	-295	0	-1	1
1.37	10720	-335	-12385	123	2029	-65	-287	1	-2	0
1.38	10720	-335	-12385	123	2023	-63	-295	-1	0	-4
1.39	10720	-335	-12386	123	2018	-57	-308	0	1	3
1.4	10720	-334	-12385	122	2023	-56	-284	1	0	-5
1.41	10719	-334	-12386	122	2023	-68	-310	0	-1	5
1.42	10719	-334	-12386	122	2023	-57	-303	1	0	-4
1.43	10719	-334	-12386	121	2030	-58	-298	-2	-2	-1
1.44	10719	-333	-12386	121	2025	-54	-303	-1	0	1
1.45	10719	-333	-12386	121	2022	-59	-299	0	0	-4
1.46	10719	-333	-12386	120	2023	-57	-300	0	-2	3
1.47	10719	-332	-12386	120	2022	-68	-280	-2	0	-4
1.48	10719	-332	-12386	120	2027	-57	-298	1	-2	1
1.49	10719	-332	-12386	119	2023	-61	-297	-1	1	-5
1.5	10719	-331	-12386	119	2026	-55	-301	-1	-2	0
1.51	10719	-331	-12386	119	2027	-65	-304	-2	-2	-1
1.52	10719	-331	-12386	118	2023	-57	-288	-1	-2	-1
1.53	10719	-331	-12386	118	2018	-58	-304	0	-2	3
1.54	10719	-330	-12386	118	2023	-58	-296	-1	2	-6
1.55	10719	-330	-12386	117	2023	-64	-297	1	0	3
1.56	10719	-330	-12386	117	2027	-65	-295	1	-2	-3
1.57	10719	-330	-12386	117	2034	-60	-300	1	-1	2
1.58	10719	-330	-12387	117	2018	-62	-305	1	0	0
1.59	10718	-329	-12387	116	2022	-64	-299	0	1	-5
1.6	10718	-329	-12387	116	2032	-58	-300	0	-1	2
1.61	10718	-329	-12387	116	2020	-67	-305	-1	-1	-4
1.62	10718	-329	-12387	116	2027	-68	-302	1	-2	3
1.63	10718	-329	-12387	116	2022	-69	-310	0	-1	-3
1.64	10718	-328	-12387	115	2027	-59	-293	0	-1	1
1.65	10718	-328	-12387	115	2025	-63	-307	1	-1	-2
1.66	10718	-328	-12387	115	2033	-60	-297	-2	-1	-1
1.67	10718	-328	-12387	115	2024	-58	-287	1	1	0
1.68	10718	-327	-12387	114	2020	-65	-289	0	-1	-3
1.69	10718	-327	-12387	114	2016	-63	-290	-1	-1	2
1.7	10718	-327	-12387	114	2037	-61	-302	4	-1	-2
1.71	10718	-327	-12387	114	2018	-62	-297	-2	1	5
1.72	10718	-327	-12387	113	2028	-62	-299	2	-5	-5
1.73	10718	-327	-12387	113	2024	-74	-295	-2	2	0
1.74	10718	-326	-12387	113	2024	-55	-303	2	-5	-2
1.75	10717	-326	-12388	113	2029	-54	-312	-1	-1	-5
1.76	10717	-326	-12388	113	2024	-74	-300	1	3	8
1.77	10717	-326	-12388	112	2023	-65	-296	-1	-1	-8
1.78	10718	-326	-12388	112	2026	-60	-285	0	2	2
1.79	10718	-325	-12388	112	2028	-60	-296	0	-3	-4
1.8	10717	-325	-12388	112	2027	-60	-300	1	-1	-1
1.81	10717	-325	-12388	111	2034	-69	-299	0	1	2
1.82	10717	-325	-12388	111	2030	-61	-299	0	0	-3
1.83	10717	-325	-12388	111	2030	-73	-293	1	1	6
1.84	10717	-325	-12388	111	2020	-61	-307	0	-3	-8
1.85	10717	-324	-12388	111	2022	-65	-303	0	-2	3
1.86	10717	-324	-12388	110	2030	-54	-298	0	-1	-5
1.87	10717	-324	-12388	110	2027	-59	-301	1	-1	0
1.88	10717	-324	-12388	110	2022	-75	-300	0	1	3
1.89	10717	-324	-12388	110	2023	-77	-308	0	-2	-4
1.9	10717	-324	-12388	110	2029	-64	-298	0	0	1
1.91	10717	-324	-12388	110	2019	-63	-295	0	-1	-9
1.92	10717	-323	-12389	110	2022	-63	-303	0	-2	4
1.93	10717	-323	-12388	109	2020	-62	-290	-1	1	-3
1.94	10716	-323	-12389	109	2025	-63	-310	2	-1	0
1.95	10716	-323	-12389	109	2029	-64	-295	-2	-1	4
1.96	10717	-323	-12389	109	2015	-59	-288	0	-1	-6
1.97	10717	-322	-12389	108	2018	-57	-296	1	1	3
1.98	10716	-322	-12389	108	2023	-64	-310	-1	-3	-4
1.99	10716	-322	-12389	108	2023	-55	-293	-1	-1	2
2	10716	-322	-12389	108	2032	-64	-296	-1	1	-3
